,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Rikitea,PF,20.54,few clouds,-23.1203,-134.9692,People ThankYou
1,Lebu,CL,11.17,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
2,Salalah,OM,25.25,overcast clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
3,Longyearbyen,SJ,3.91,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
4,Nikolskoye,RU,8.94,overcast clouds,59.7035,30.7861,Tourist House - Sablino
5,Kahului,US,31.01,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
6,Bluff,NZ,6.56,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
7,Bathsheba,BB,27.34,broken clouds,13.2167,-59.5167,Atlantis Hotel
8,Sarauli,IN,22.44,broken clouds,28.5,79.1,Dr.Zakir Khan
9,Punta Arenas,CL,9.06,light rain,-53.15,-70.9167,Hotel Hain
10,Ostrovnoy,RU,8.61,overcast clouds,68.0531,39.5131,
11,Souillac,MU,22.21,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Musoma,TZ,20.01,few clouds,-1.5,33.8,New Peninsula Hotel
13,Mantua,IT,15.61,scattered clouds,45.1667,10.7833,Hotel la Favorita
14,Busselton,AU,13.34,few clouds,-33.65,115.3333,Observatory Guest House
15,Hermanus,ZA,8.78,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
16,Kavieng,PG,29.28,light rain,-2.5744,150.7967,Nusa Island Retreat
17,New Norfolk,AU,12.73,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
18,Atuona,PF,25.34,clear sky,-9.8,-139.0333,Villa Enata
20,Cape Town,ZA,16.32,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
21,Hofn,IS,5.81,clear sky,64.2539,-15.2082,Hótel Höfn
22,Hobart,AU,12.92,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
23,Albany,US,13.09,broken clouds,42.6001,-73.9662,
24,Nanortalik,GL,3.05,broken clouds,60.1432,-45.2371,Hotel Kap Farvel
25,Hithadhoo,MV,27.85,overcast clouds,-0.6,73.0833,Scoop Guest House
26,Ushuaia,AR,7.81,scattered clouds,-54.8,-68.3,Albatross Hotel
27,Katsuura,JP,15.01,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
28,Westport,US,16.36,light rain,41.1415,-73.3579,The Westport Inn
29,Flinders,AU,16.32,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
31,Tigil,RU,2.85,light rain,57.8,158.6667,Tigil'
32,Bethel,US,15.66,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
33,Kapaa,US,28.99,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
34,Arraial Do Cabo,BR,20.81,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
35,Sinnamary,GF,26.56,clear sky,5.3833,-52.95,ALETHEIA Appartement Sinnamary
36,Asau,RO,7.51,overcast clouds,46.4333,26.4,Casa Mika Ciobanus
37,Kholm,RU,7.09,broken clouds,59.2667,32.85,
38,Kefamenanu,ID,26.47,overcast clouds,-9.4467,124.4781,Sokowindo Losmen
39,Fortuna,US,18.29,few clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
40,Norman Wells,CA,9.02,broken clouds,65.282,-126.8329,Heritage Hotel
41,Hasaki,JP,15.22,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
42,Spencer,US,18.62,broken clouds,43.1414,-95.1444,Reston Inn & Suites
44,Kaitangata,NZ,4.54,overcast clouds,-46.2817,169.8464,Kaitangata Motor Camp
46,North Bend,US,25.13,few clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
47,Kashary,RU,8.58,scattered clouds,49.04,41.0056,Гостиница N 1
48,Juneau,US,12.28,overcast clouds,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
49,Quatre Cocos,MU,19.49,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
50,Butaritari,KI,27.83,few clouds,3.0707,172.7902,Isles Sunset Lodge
51,Hilo,US,27.93,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
52,Tocopilla,CL,17.09,few clouds,-22.092,-70.1979,Hotel Galvarino
53,Zabid,YE,30.58,broken clouds,14.1951,43.3152,مغرب التريبه
54,Yar-Sale,RU,0.35,scattered clouds,66.8333,70.8333,Yalemd
55,Antalaha,MG,19.42,clear sky,-14.9003,50.2788,Hotel Vitasoa
56,Pinawa,CA,9.93,broken clouds,50.1489,-95.8811,Pinawa Motel
57,Palmer,US,14.87,light rain,42.1584,-72.3287,Wedgewood Motel
58,High Level,CA,11.06,smoke,58.5169,-117.136,Days Inn by Wyndham High Level
59,Mataura,NZ,6.38,light rain,-46.1927,168.8643,Ellie's Villa
60,Olafsvik,IS,6.9,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
62,Kalmunai,LK,25.22,overcast clouds,7.4167,81.8167,VS Villa
63,Bengkulu,ID,23.84,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
64,Lorengau,PG,29.84,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
65,Liwale,TZ,19.26,scattered clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
67,Saint Anthony,US,20.52,broken clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
68,Pimentel,PE,16.35,scattered clouds,-6.8367,-79.9342,Hotel Puerto del Sol
69,Husavik,IS,2.68,overcast clouds,66.0449,-17.3389,Bjarnabúð
70,Esperance,AU,9.91,broken clouds,-33.8667,121.9,Hospitality Esperance
71,Port Hardy,CA,19.1,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
72,Saint-Philippe,RE,19.77,scattered clouds,-21.3585,55.7679,Le four à pain
73,Solnechnyy,RU,2.55,clear sky,50.7214,136.6319,Hotel complex Pastoral
75,Qixingtai,CN,9.56,overcast clouds,30.4135,111.8874,Hualian Hotel
76,Provideniya,RU,4.09,light shower sleet,64.3833,-173.3,
77,Witu,KE,24.09,light rain,-2.3889,40.4382,
79,Puerto Ayora,EC,19.75,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
81,Kodiak,US,12.73,heavy intensity rain,57.79,-152.4072,Best Western Kodiak Inn
82,Mar Del Plata,AR,16.16,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
83,Tura,IN,22.08,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
84,Santo Domingo,DO,26.69,overcast clouds,18.5001,-69.9886,Cabañas City Heart
85,Sao Joao Da Barra,BR,21.63,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
86,Cabo San Lucas,MX,30.66,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
87,Hovd,MN,3.16,broken clouds,48.0056,91.6419,Hotel Buyant
88,Tuktoyaktuk,CA,1.59,light snow,69.4541,-133.0374,End of The Road Ltd.
90,Mandurah,AU,13.52,broken clouds,-32.55,115.7,Atrium Hotel Mandurah
91,Grand Gaube,MU,19.65,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
92,Waitati,NZ,3.34,overcast clouds,-45.75,170.5667,Arden Country House BnB Dunedin
93,Roma,US,13.82,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
95,San Antonio,US,30.34,few clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
96,Yellowknife,CA,2.29,broken clouds,62.456,-114.3525,The Explorer Hotel
97,Avera,US,18.73,clear sky,33.194,-82.5271,
98,Bubaque,GW,27.58,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
99,Beloha,MG,19.52,clear sky,-25.1667,45.05,
100,Simao,CN,18.59,broken clouds,22.7886,100.9748,Changyu Hotel
101,Rocha,UY,12.5,broken clouds,-34.4833,-54.3333,Hotel Arrarte
102,Severo-Kurilsk,RU,7.47,broken clouds,50.6789,156.125,Kak Doma
103,Bossangoa,CF,20.85,light rain,6.4926,17.4552,Hotel du tourisme
104,Williston,US,18.51,overcast clouds,48.147,-103.618,Hampton Inn & Suites Williston
106,Cedar City,US,21.89,scattered clouds,37.6775,-113.0619,Hampton Inn Cedar City
107,Goundam,ML,35.4,broken clouds,16.4145,-3.6708,
108,Vaini,TO,24.51,moderate rain,-21.2,-175.2,Keleti Beach Resort
109,Ribeira Grande,PT,21.31,light rain,38.5167,-28.7,Quinta da Meia Eira
110,Frontera,MX,26.29,broken clouds,26.9333,-101.45,Fiesta Inn Monclova
111,Jamestown,US,13.9,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
112,Sao Filipe,CV,26.16,broken clouds,14.8961,-24.4956,Hotel Xaguate
113,La Rochelle,FR,16.04,clear sky,46.1667,-1.15,Hotel Henri IV
114,Port Antonio,JM,26.67,scattered clouds,18.18,-76.4612,The Trident Hotel
116,Barrow,US,2.01,overcast clouds,71.2906,-156.7887,King Eider Inn
118,Iqaluit,CA,0.39,overcast clouds,63.7506,-68.5145,Frobisher Inn
119,Port Blair,IN,24.02,broken clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
120,Beidao,CN,9.87,moderate rain,34.5686,105.8933,Shell Tianshui Maiji District Erma Road Walking Street Hotel
121,Ternate,ID,27.89,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
122,Goderich,CA,16.62,broken clouds,43.7501,-81.7165,Harmony Inn
123,Yanggu,CN,9.99,light rain,36.1106,115.7753,Supply And Marketing Hotel
125,Lompoc,US,31.12,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
126,Yuci,CN,6.86,mist,37.6803,112.7319,Thank Inn Plus Hotel Shanxi Jinzhong Yuci District Yingbin West Street Yinhaixinyue
127,Grindavik,IS,5.26,broken clouds,63.8424,-22.4338,Northern Light Inn & Max's Restaurant
128,Saint George,US,31.64,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
129,Concepcion,CL,10.62,broken clouds,-36.827,-73.0498,Hotel El Araucano
130,Barabinsk,RU,6.88,overcast clouds,55.3571,78.357,Gostinichnyy Kompleks Noy
131,Ixtapa,MX,26.89,scattered clouds,20.7,-105.2,hotel la terminal
132,Thompson,CA,0.09,broken clouds,55.7435,-97.8558,Burntwood Hotel
133,Pangkalanbuun,ID,25.74,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
134,Narsaq,GL,3.12,overcast clouds,60.9167,-46.05,Sleep In Narsaq
135,Linhares,BR,22.8,broken clouds,-19.3911,-40.0722,Hotel Conceição
137,Georgetown,MY,25.5,few clouds,5.4112,100.3354,Cititel Penang
138,Harbour Breton,CA,11.27,scattered clouds,47.4833,-55.7983,Southern Port Hotel
139,Zihuatanejo,MX,27.84,scattered clouds,17.6333,-101.55,La Casa Que Canta
140,Beringovskiy,RU,8.33,overcast clouds,63.05,179.3167,
141,Nishiwaki,JP,16.75,overcast clouds,34.9833,134.9667,Nishiwaki Royal Hotel
142,Tahe,CN,0.38,scattered clouds,52.3333,124.7333,塔河宾馆
143,Tadine,NC,23.93,overcast clouds,-21.55,167.8833,
144,Castro,BR,16.53,light rain,-24.7911,-50.0119,CHACARA BAILLY
145,Hami,CN,10.29,clear sky,42.8,93.45,Laoyutang Resort
146,Altamont,US,29.32,clear sky,42.2068,-121.7372,Microtel Inn & Suites by Wyndham Klamath Falls
147,General Roca,AR,18.58,few clouds,-39.0333,-67.5833,Hotel El Recreo
148,Kenora,CA,13.21,overcast clouds,49.8167,-94.4337,Maynard Lake Lodge
149,Coffs Harbour,AU,18.98,overcast clouds,-30.3,153.1333,Aquajet Motel
150,Atessa,IT,16.4,overcast clouds,42.0693,14.4511,Hotel Ristorante Al Duca
151,Balkhash,KZ,7.16,clear sky,46.844,74.9804,Family
152,Ingham,US,17.66,clear sky,42.6,-84.3833,Sunset Mobile Home Park
153,Takoradi,GH,23.98,few clouds,4.8845,-1.7554,Raybow International Hotel
154,Chuy,UY,14.59,overcast clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
155,Haines Junction,CA,10.9,overcast clouds,60.7522,-137.5108,Parkside Inn
156,Alofi,NU,25.16,overcast clouds,-19.0595,-169.9187,Taloa Heights
157,Avarua,CK,26.03,scattered clouds,-21.2078,-159.775,Paradise Inn
158,Ballina,AU,18.02,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
159,Naze,JP,24.3,scattered clouds,28.3667,129.4833,Shishime Hotel
162,Bodden Town,KY,28.33,overcast clouds,19.2833,-81.25,Will T Place
163,Aquiraz,BR,26.77,few clouds,-3.9014,-38.3911,Pousada Rua Camurupim
164,Espanola,US,14.42,overcast clouds,35.9911,-106.0806,Santa Claran Hotel Casino
166,Pedasi,PA,25.59,overcast clouds,7.5333,-80.0333,Hotel Casa de Campo Pedasí
167,Port Lincoln,AU,17.37,clear sky,-34.7333,135.8667,Port Lincoln Hotel
168,Honiara,SB,30.94,overcast clouds,-9.4333,159.95,Heritage Park Hotel
169,Lempaala,FI,13.21,overcast clouds,61.3167,23.75,Vaihmalan Hovi
170,Gamba,GA,24.01,overcast clouds,-2.65,10.0,
171,Port Alfred,ZA,17.21,overcast clouds,-33.5906,26.891,The Halyards Hotel
172,Nouadhibou,MR,26.91,scattered clouds,20.931,-17.0347,El Medina
173,Kourou,GF,27.03,few clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
