City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Rikitea,PF,-23.1203,-134.9692,20.54,66,12,9.63,few clouds
1,Lebu,CL,-37.6167,-73.65,11.17,85,100,3.65,overcast clouds
2,Salalah,OM,17.0151,54.0924,25.25,81,96,1.65,overcast clouds
3,Longyearbyen,SJ,78.2186,15.6401,3.91,75,20,6.69,few clouds
4,Nikolskoye,RU,59.7035,30.7861,8.94,98,96,3.16,overcast clouds
5,Kahului,US,20.8947,-156.47,31.01,68,40,8.23,scattered clouds
6,Bluff,NZ,-46.6,168.3333,6.56,63,96,10.35,overcast clouds
7,Bathsheba,BB,13.2167,-59.5167,27.34,83,75,6.69,broken clouds
8,Sarauli,IN,28.5,79.1,22.44,92,51,3.38,broken clouds
9,Punta Arenas,CL,-53.15,-70.9167,9.06,66,75,4.12,light rain
10,Ostrovnoy,RU,68.0531,39.5131,8.61,93,99,5.83,overcast clouds
11,Souillac,MU,-20.5167,57.5167,22.21,78,75,3.6,broken clouds
12,Musoma,TZ,-1.5,33.8,20.01,83,20,0.0,few clouds
13,Mantua,IT,45.1667,10.7833,15.61,87,33,0.8,scattered clouds
14,Busselton,AU,-33.65,115.3333,13.34,57,14,5.59,few clouds
15,Hermanus,ZA,-34.4187,19.2345,8.78,84,0,5.4,clear sky
16,Kavieng,PG,-2.5744,150.7967,29.28,70,96,6.14,light rain
17,New Norfolk,AU,-42.7826,147.0587,12.73,60,99,1.34,overcast clouds
18,Atuona,PF,-9.8,-139.0333,25.34,69,4,7.73,clear sky
19,Luderitz,NA,-26.6481,15.1594,12.37,78,7,7.08,clear sky
20,Cape Town,ZA,-33.9258,18.4232,16.32,72,0,3.6,clear sky
21,Hofn,IS,64.2539,-15.2082,5.81,58,5,5.36,clear sky
22,Hobart,AU,-42.8794,147.3294,12.92,72,75,5.66,broken clouds
23,Albany,US,42.6001,-73.9662,13.09,90,73,1.79,broken clouds
24,Nanortalik,GL,60.1432,-45.2371,3.05,86,67,7.48,broken clouds
25,Hithadhoo,MV,-0.6,73.0833,27.85,74,99,9.05,overcast clouds
26,Ushuaia,AR,-54.8,-68.3,7.81,66,40,1.54,scattered clouds
27,Katsuura,JP,35.1333,140.3,15.01,86,100,10.45,overcast clouds
28,Westport,US,41.1415,-73.3579,16.36,89,100,2.24,light rain
29,Flinders,AU,-34.5833,150.8552,16.32,92,100,2.24,overcast clouds
30,Tasiilaq,GL,65.6145,-37.6368,-5.34,53,75,2.42,broken clouds
31,Tigil,RU,57.8,158.6667,2.85,74,91,12.43,light rain
32,Bethel,US,41.3712,-73.414,15.66,89,100,0.89,overcast clouds
33,Kapaa,US,22.0752,-159.319,28.99,68,13,2.24,few clouds
34,Arraial Do Cabo,BR,-22.9661,-42.0278,20.81,85,65,5.95,broken clouds
35,Sinnamary,GF,5.3833,-52.95,26.56,84,3,4.96,clear sky
36,Asau,RO,46.4333,26.4,7.51,81,99,2.72,overcast clouds
37,Kholm,RU,59.2667,32.85,7.09,98,76,2.5,broken clouds
38,Kefamenanu,ID,-9.4467,124.4781,26.47,67,100,2.07,overcast clouds
39,Fortuna,US,40.5982,-124.1573,18.29,76,13,0.89,few clouds
40,Norman Wells,CA,65.282,-126.8329,9.02,66,75,6.69,broken clouds
41,Hasaki,JP,35.7333,140.8333,15.22,74,100,10.56,light rain
42,Spencer,US,43.1414,-95.1444,18.62,68,74,2.47,broken clouds
43,Qaanaaq,GL,77.484,-69.3632,-14.57,70,32,3.41,scattered clouds
44,Kaitangata,NZ,-46.2817,169.8464,4.54,88,100,7.42,overcast clouds
45,Eenhana,NA,-17.4667,16.3333,22.7,16,25,3.41,scattered clouds
46,North Bend,US,43.4065,-124.2243,25.13,100,17,0.45,few clouds
47,Kashary,RU,49.04,41.0056,8.58,80,43,2.97,scattered clouds
48,Juneau,US,58.3019,-134.4197,12.28,100,100,1.1,overcast clouds
49,Quatre Cocos,MU,-20.2078,57.7625,19.49,78,72,5.83,broken clouds
50,Butaritari,KI,3.0707,172.7902,27.83,72,19,6.28,few clouds
51,Hilo,US,19.7297,-155.09,27.93,78,100,3.6,overcast clouds
52,Tocopilla,CL,-22.092,-70.1979,17.09,63,13,5.74,few clouds
53,Zabid,YE,14.1951,43.3152,30.58,63,56,3.16,broken clouds
54,Yar-Sale,RU,66.8333,70.8333,0.35,91,48,4.86,scattered clouds
55,Antalaha,MG,-14.9003,50.2788,19.42,87,1,2.9,clear sky
56,Pinawa,CA,50.1489,-95.8811,9.93,64,71,6.45,broken clouds
57,Palmer,US,42.1584,-72.3287,14.87,87,100,1.54,light rain
58,High Level,CA,58.5169,-117.136,11.06,43,20,5.14,smoke
59,Mataura,NZ,-46.1927,168.8643,6.38,94,96,4.92,light rain
60,Olafsvik,IS,64.8945,-23.7142,6.9,71,100,4.84,overcast clouds
61,Clyde River,CA,70.4692,-68.5914,-3.87,80,100,9.26,light snow
62,Kalmunai,LK,7.4167,81.8167,25.22,82,96,2.28,overcast clouds
63,Bengkulu,ID,-3.8004,102.2655,23.84,90,100,2.02,overcast clouds
64,Lorengau,PG,-2.0226,147.2712,29.84,68,71,5.8,broken clouds
65,Liwale,TZ,-9.7667,37.9333,19.26,84,26,2.49,scattered clouds
66,Hailar,CN,49.2,119.7,-0.81,53,34,3.14,scattered clouds
67,Saint Anthony,US,45.0205,-93.218,20.52,72,58,1.75,broken clouds
68,Pimentel,PE,-6.8367,-79.9342,16.35,85,25,7.51,scattered clouds
69,Husavik,IS,66.0449,-17.3389,2.68,97,100,14.36,overcast clouds
70,Esperance,AU,-33.8667,121.9,9.91,61,63,8.69,broken clouds
71,Port Hardy,CA,50.6996,-127.4199,19.1,72,40,2.57,scattered clouds
72,Saint-Philippe,RE,-21.3585,55.7679,19.77,76,43,5.04,scattered clouds
73,Solnechnyy,RU,50.7214,136.6319,2.55,39,4,5.18,clear sky
74,Erdenet,MN,49.0333,104.0833,-2.28,44,61,1.53,broken clouds
75,Qixingtai,CN,30.4135,111.8874,9.56,82,100,5.69,overcast clouds
76,Provideniya,RU,64.3833,-173.3,4.09,100,100,15.2,light shower sleet
77,Witu,KE,-2.3889,40.4382,24.09,88,16,4.96,light rain
78,Chokurdakh,RU,70.6333,147.9167,-6.93,92,94,3.47,overcast clouds
79,Puerto Ayora,EC,-0.7393,-90.3518,19.75,88,78,2.24,broken clouds
80,Verkh-Usugli,RU,52.7,115.1667,-3.94,59,5,0.96,clear sky
81,Kodiak,US,57.79,-152.4072,12.73,88,100,7.2,heavy intensity rain
82,Mar Del Plata,AR,-38.0023,-57.5575,16.16,91,0,4.63,clear sky
83,Tura,IN,25.5198,90.2201,22.08,97,96,1.14,overcast clouds
84,Santo Domingo,DO,18.5001,-69.9886,26.69,100,87,1.2,overcast clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,21.63,88,52,4.37,broken clouds
86,Cabo San Lucas,MX,22.8909,-109.9124,30.66,66,9,3.19,clear sky
87,Hovd,MN,48.0056,91.6419,3.16,30,81,2.36,broken clouds
88,Tuktoyaktuk,CA,69.4541,-133.0374,1.59,91,100,5.74,light snow
89,Upernavik,GL,72.7868,-56.1549,-7.36,84,65,1.88,broken clouds
90,Mandurah,AU,-32.55,115.7,13.52,55,57,3.77,broken clouds
91,Grand Gaube,MU,-20.0064,57.6608,19.65,75,84,1.34,broken clouds
92,Waitati,NZ,-45.75,170.5667,3.34,99,96,5.12,overcast clouds
93,Roma,US,43.2128,-75.4557,13.82,62,0,1.54,clear sky
94,Tiksi,RU,71.6872,128.8694,-5.7,83,97,7.09,overcast clouds
95,San Antonio,US,29.4241,-98.4936,30.34,34,20,2.57,few clouds
96,Yellowknife,CA,62.456,-114.3525,2.29,75,75,6.69,broken clouds
