City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Punta Arenas,CL,2022-10-02 19:39:21,-53.15,-70.9167,11.06,40,0,4.63
1,Naberera,TZ,2022-10-02 19:43:07,-4.2,36.9333,16.57,65,87,5.45
2,Barkhan,PK,2022-10-02 19:43:08,29.8977,69.5256,23.69,40,0,1.77
3,Sobradinho,BR,2022-10-02 19:43:08,-12.8333,-39.1,25.3,71,29,3.8
4,Nicolas Bravo,MX,2022-10-02 19:43:08,18.45,-88.9167,33.49,37,94,0.4
5,Bubaque,GW,2022-10-02 19:43:09,11.2833,-15.8333,27.43,76,64,3.73
6,Codrington,AU,2022-10-02 19:39:24,-38.2667,141.9667,7.66,89,100,1.92
7,Storsteinnes,NO,2022-10-02 19:43:09,69.2408,19.2344,3.54,80,34,0.78
8,Vila Do Maio,CV,2022-10-02 19:43:09,15.1333,-23.2167,27.44,69,18,5.46
9,Victoria,HK,2022-10-02 19:38:08,22.2855,114.1577,28.51,84,13,1.34
10,Tiszaszentimre,HU,2022-10-02 19:43:10,47.4833,20.7333,13.88,81,100,5.27
11,Ponta Do Sol,PT,2022-10-02 19:38:18,32.6667,-17.1,22.62,83,46,2.4
12,Georgetown,MY,2022-10-02 19:35:15,5.4112,100.3354,26.61,92,40,2.24
13,Bodden Town,KY,2022-10-02 19:43:11,19.2833,-81.25,31.0,51,20,4.63
14,Mandal,IN,2022-10-02 19:43:11,25.45,74.5667,24.36,58,2,3.55
15,Vila Velha,BR,2022-10-02 19:34:08,-20.3297,-40.2925,25.97,79,0,5.14
16,Mahanoro,MG,2022-10-02 19:43:11,-19.9,48.8,18.12,87,2,2.46
17,Saint-Philippe,RE,2022-10-02 19:39:30,-21.3585,55.7679,19.77,77,35,5.08
18,Cape Town,ZA,2022-10-02 19:38:58,-33.9258,18.4232,16.6,78,0,2.06
19,Luanda,AO,2022-10-02 19:43:12,-8.8368,13.2343,24.0,83,20,3.09
20,Hofn,IS,2022-10-02 19:43:12,64.2539,-15.2082,8.1,66,96,3.17
21,East London,ZA,2022-10-02 19:37:51,-33.0153,27.9116,19.77,89,13,6.97
22,Jamestown,US,2022-10-02 19:38:06,42.097,-79.2353,16.96,68,75,6.17
23,Port Alfred,ZA,2022-10-02 19:38:20,-33.5906,26.891,18.43,94,1,0.89
24,Moose Factory,CA,2022-10-02 19:43:13,51.2585,-80.6094,11.0,46,0,6.17
25,Torbay,CA,2022-10-02 19:40:59,47.6666,-52.7314,10.32,63,75,5.36
26,Atar,MR,2022-10-02 19:43:14,20.5169,-13.0499,34.17,23,0,2.64
27,Soyo,AO,2022-10-02 19:43:14,-6.1349,12.3689,24.56,84,100,3.76
28,Marawi,PH,2022-10-02 19:43:14,7.9986,124.2928,20.59,92,100,1.04
29,Mar Del Plata,AR,2022-10-02 19:38:12,-38.0023,-57.5575,13.01,72,0,8.23
30,Lubao,PH,2022-10-02 19:43:15,14.9167,120.55,27.84,85,98,2.73
31,Zarumilla,PE,2022-10-02 19:43:15,-3.5031,-80.2731,25.91,69,40,4.12
32,Pangnirtung,CA,2022-10-02 19:43:16,66.1451,-65.7125,3.0,60,20,6.69
33,Kologriv,RU,2022-10-02 19:43:17,58.8275,44.3178,10.03,94,98,2.18
34,Ushuaia,AR,2022-10-02 19:38:13,-54.8,-68.3,8.81,46,0,1.54
35,Ostrovnoy,RU,2022-10-02 19:43:17,68.0531,39.5131,3.13,80,99,4.36
36,Pafos,CY,2022-10-02 19:43:18,34.7667,32.4167,24.88,83,0,2.06
37,Hermanus,ZA,2022-10-02 19:35:10,-34.4187,19.2345,15.45,84,0,5.75
38,Port Elizabeth,ZA,2022-10-02 19:39:25,-33.918,25.5701,18.51,96,75,3.6
39,Kruisfontein,ZA,2022-10-02 19:43:19,-34.0033,24.7314,17.16,91,0,4.1
40,Tabou,CI,2022-10-02 19:40:01,4.423,-7.3528,24.3,91,76,3.02
41,Sao Filipe,CV,2022-10-02 19:43:19,14.8961,-24.4956,25.66,71,97,5.25
42,Vladyslavivka,UA,2022-10-02 19:43:19,45.1667,35.3667,15.38,66,50,10.7
43,Nara,JP,2022-10-02 19:40:07,34.6851,135.8049,21.62,50,89,1.48
44,Dikson,RU,2022-10-02 19:39:23,73.5069,80.5464,-1.08,90,100,9.08
45,Moussoro,TD,2022-10-02 19:43:20,13.6408,16.4901,33.67,28,2,4.39
46,Faya,SA,2022-10-02 19:38:14,18.3851,42.4509,18.06,57,5,0.81
47,Robore,BO,2022-10-02 19:44:20,-18.3333,-59.75,34.05,43,20,0.0
48,Busselton,AU,2022-10-02 19:38:17,-33.65,115.3333,8.91,74,12,5.04
49,Hualmay,PE,2022-10-02 19:44:21,-11.0964,-77.6139,19.57,72,50,4.37
50,San Ramon,US,2022-10-02 19:44:22,37.7799,-121.978,24.12,59,0,3.09
